"Account ID","Parent Account","Account Name","Account Owner","Owner Role","Customer Flag","Calculated ARR","FY26 SOY ARR","# of Open Opportunities","Count of Engaged Opportunities","Open Pipeline","Employee Range","ZI - Eng Count","Annual Revenue","Region","Geo","Clearbit Industry Group","Current FY Segmentation","Active Product Classification","Total Close Factor Score","Close Factor Tier","GitLab Flag"
"0013t00001XiZOb","","ServiceNow","Josh Pallil","AE West","Customer","73500.00","73500","1","1","0.00","Over 10,000","9233","4510000000","West","Americas","Software & Services","Strategic","Search Only","25","High","1"
"0013t000029V2Er","","Neyborly","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","10 - 20","1","10000000","West","Americas","Real Estate","Self-Service","","","","0"
"0013t00001XiZOh","","Arimac Lanka","Harry Charlesworth","AE APAC","Prospect","0.00","","0","0","0.00","250 - 500","149","10000000","Southern Asia","APAC","Commercial & Professional Services","Mid-Market","","","","0"
"0013t000029V2Es","","Eight Sleep","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","32","50000000","East","Americas","Health Care Equipment & Services","Self-Service","","","","0"
"0013t00001XiZOo","","Cirrius Solutions","Alok Desai","AE East","Prospect","0.00","","0","0","0.00","50 - 100","1","10000000","Central","Americas","Software & Services","Self-Service","","","","0"
"0013t000029V2Et","","Rare Edition","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","10 - 20","1","1445000","West","Americas","Retailing","Self-Service","","","","0"
"0013t00001XiZPE","","Petco Animal Supplies, Inc","Justin Beatty","AE West","Prospect","0.00","","0","0","0.00","Over 10,000","438","4434000000","West","Americas","Retailing","Mid-Market","","-4","Low","1"
"0013t000029V2Eu","","r2c","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","1 - 5","2","1514000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZPG","","Best Buy","Justin Beatty","AE West","Prospect","0.00","","0","0","0.00","Over 10,000","4950","47262000000","Central","Americas","Consumer Durables & Apparel","Enterprise","","18","High","0"
"0013t000029V2Ev","","OneHealthCompany, Inc.","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","20 - 50","1","10000000","West","Americas","Health Care Equipment & Services","Self-Service","","","","0"
"0013t00001XiZPP","","Danske Bank","Bill Kolman","AE East","Prospect","0.00","","0","0","0.00","Over 10,000","1284","1000000000","East","Americas","Banks","Enterprise","","19","High","1"
"0013t000029V2Ew","","Forethought","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","35","10000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZPU","","Lever","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","5 - 10","","50000000","West","Americas","Commercial & Professional Services","Self-Service","","-7","Low","0"
"0013t000029V2Ex","","Stairwell Inc","Carter Jaenichen","AE SMB","Customer","17640.00","17640","1","1","0.00","20 - 50","8","10000000","West","Americas","Software & Services","Self-Service","Search Only","","","0"
"0013t00001XiZPy","","Hey.com","Brock Perko","","Prospect","0.00","","0","0","0.00","1 - 5","64","1000000","","Americas","Software & Services","SMB","","","","0"
"0013t000029V2Ey","","HumanAPI Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","16","10000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZQ8","","HSBC","Dan Ellis","AE EMEA","Prospect","0.00","","0","0","0.00","Over 10,000","8664","49552000000","Northern Europe","EMEA","Banks","Strategic","","18","High","1"
"0013t000029V2Ez","","strongDM","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","55","1000000","West","Americas","Software & Services","SMB","","","","0"
"0013t00001XiZQB","","Temenos","Dan Ellis","AE EMEA","Prospect","0.00","","0","0","0.00","5,000 - 10,000","2779","1000000000","Western Europe","EMEA","Software & Services","Enterprise","","13","Medium","0"
"0013t000029V2F0","","Opsani","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","10 - 20","1","10000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZQD","","Liberty Mutual","Bill Kolman","AE East","Prospect","0.00","","0","0","0.00","Over 10,000","4814","43796000000","East","Americas","Insurance","Enterprise","","22","High","0"
"0013t000029V2F1","","Superplastic","Brock Perko","","Prospect","0.00","","0","0","0.00","10 - 20","4","1000000","East","Americas","Consumer Durables & Apparel","Self-Service","","","","0"
"0013t00001XiZQM","","YRC Worldwide","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","Over 10,000","5","4891000000","Central","Americas","Transportation","Self-Service","","","","0"
"0013t000029V2F2","","Retool Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","250 - 500","175","1000000","West","Americas","Software & Services","Mid-Market","","","","0"
"0013t00001XiZQS","","Yahoo","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","5 - 10","1","5169135000","West","Americas","Software & Services","Self-Service","","23","High","0"
"0013t000029V2F3","","Ambassador Labs","Brock Perko","","Prospect","0.00","","0","0","0.00","50 - 100","22","10000000","East","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZQT","","Scotiabank","Alok Desai","AE East","Customer","60564.00","60564","1","1","0.00","Over 10,000","4336","1000000000","East","Americas","Banks","Enterprise","Search Only","20","High","1"
"0013t000029V2F4","","Twin Health","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","250 - 500","101","115529000","West","Americas","Pharmaceuticals, Biotechnology & Life Sciences","SMB","","","","0"
"0013t00001XiZQa","","IKEA","Dan Ellis","AE EMEA","Prospect","0.00","","0","0","0.00","Over 10,000","4160","47460080000","Northern Europe","EMEA","Retailing","Enterprise","","9","Medium","0"
"0013t000029V2F5","","Cribl","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","500 - 1,000","428","10000000","West","Americas","Software & Services","Mid-Market","","","","0"
"0013t00001XiZQb","","Honeywell","Bill Kolman","AE East","Prospect","0.00","","0","0","0.00","Over 10,000","38504","34392000000","East","Americas","Capital Goods","Strategic","","22","High","1"
"0013t000029V2F6","","Whisper.ai Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","4","1000000","West","Americas","Consumer Durables & Apparel","Self-Service","","","","0"
"0013t00001XiZQo","","rm2rf.com","Brock Perko","","Prospect","0.00","","0","0","0.00","","","","","Americas","","Self-Service","","","","0"
"0013t000029V2F7","","Temporal Technologies","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","250 - 500","144","50000000","West","Americas","Software & Services","SMB","","","","0"
"0013t00001XiZR2","","DomainMarket LLC","Brock Perko","","Prospect","0.00","","0","0","0.00","10 - 20","","1000000","East","Americas","Software & Services","Self-Service","","","","0"
"0013t000029V2F8","","Augury Inc","Brock Perko","","Prospect","0.00","","0","0","0.00","250 - 500","127","50000000","East","Americas","Capital Goods","SMB","","8","Medium","0"
"0013t00001XiZR3","","Spreadshirt","EMEA QUEUE","EMEA Queue","Prospect","0.00","","0","0","0.00","10 - 20","6","250000000","Western Europe","EMEA","Consumer Durables & Apparel","Self-Service","","","","0"
"0013t000029V2F9","","Balsa Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","10 - 20","1","10000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZR7","","The Vanguard Group, Inc.","Bill Kolman","AE East","Prospect","0.00","","0","0","0.00","Over 10,000","2271","6936000000","East","Americas","Diversified Financials","Enterprise","","25","High","1"
"0013t000029V2FA","","Armory Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","11","10000000","West","Americas","Transportation","Self-Service","","","","0"
"0013t00001XiZRC","UnitedHealth Group","United Healthcare","Justin Beatty","AE West","Prospect","0.00","","0","0","0.00","Over 10,000","1080","257141000000","Central","Americas","Insurance","Strategic","","4","Low","0"
"0013t000029V2FB","","Alkira","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","86","1000000","West","Americas","Software & Services","SMB","","","","0"
"0013t00001XiZRG","","Verifone","Justin Beatty","AE West","Prospect","0.00","","1","0","0.00","5,000 - 10,000","1506","1800000000","West","Americas","Technology Hardware & Equipment","Enterprise","","17","High","1"
"0013t000029V2FC","","Remote Technology Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","1,000 - 5,000","248","250000000","West","Americas","Commercial & Professional Services","SMB","","25","High","1"
"0013t00001XiZRU","","Costco","Tim Devereux","AE West","Prospect","0.00","","0","0","0.00","Over 10,000","4630","152703000000","West","Americas","Retailing","Enterprise","","15","High","1"
"0013t000029V2FD","","mmhmm","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","20 - 50","28","10000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZRY","","Asurion","Brock Perko","","Prospect","0.00","","0","0","0.00","Over 10,000","3127","8500000000","East","Americas","Insurance","Enterprise","","14","High","1"
"0013t000029V2FE","","Skilljar Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","53","10000000","West","Americas","Consumer Services","SMB","","","","0"
"0013t00001XiZRf","","Yale University","Brock Perko","","Prospect","0.00","","0","0","0.00","Over 10,000","894","1000000000","East","Americas","Diversified Consumer Services","Enterprise","","","","0"
"0013t000029V2FF","","Dedrone","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","87","1000000","West","Americas","Capital Goods","SMB","","","","0"
"0013t00001XiZRq","","Scale AI","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","2","50000000","West","Americas","Consumer Services","Self-Service","","20","High","0"
"0013t000029V2FG","","Eclypsium Inc","Carter Jaenichen","AE SMB","Prospect","0.00","","1","1","8000.00","100 - 250","31","10000000","West","Americas","Capital Goods","Self-Service","","","","0"
"0013t00001XiZRr","","Webflow","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","500 - 1,000","419","10000000","West","Americas","Software & Services","Mid-Market","","0","Low","0"
"0013t000029V2FH","","Solo.io Inc","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","84","1000000","East","Americas","Software & Services","SMB","","","","0"
"0013t00001XiZS3","","nxp semiconductors","James Ghaedi","AE EMEA","Customer","68400.00","","2","2","114000.00","Over 10,000","9513","11063000000","Western Europe","EMEA","Semiconductors & Semiconductor Equipment","Strategic","","13","Medium","1"
"0013t000029V2FI","","Golden Recursion Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","20 - 50","8","10000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZS9","","Akita Software","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","5 - 10","1","1000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t000029V2FJ","","CodeCombat","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","20 - 50","5","10000000","West","Americas","Consumer Services","Self-Service","","","","0"
"0013t00001XiZSR","","Checkout.com","EMEA QUEUE","EMEA Queue","Prospect","0.00","","0","0","0.00","1,000 - 5,000","581","1000000","Northern Europe","EMEA","Diversified Financials","Enterprise","","7","Medium","0"
"0013t000029V2FK","","Within3","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","38","1000000","Central","Americas","Pharmaceuticals, Biotechnology & Life Sciences","Self-Service","","","","0"
"0013t00001XiZSY","","Nationwide Mutual Insurance Company","Caitlin Moran","AE East","Prospect","0.00","","0","0","0.00","Over 10,000","2984","41900000000","Central","Americas","Insurance","Enterprise","","17","High","0"
"0013t000029V2FL","","Alloy","Brock Perko","","Prospect","0.00","","0","0","0.00","1 - 5","3","1000000000","East","Americas","Diversified Financial Services","Self-Service","","-7","Low","0"
"0013t00001XiZSl","","Johnson Controls International","Brock Perko","","Prospect","0.00","","0","0","0.00","Over 10,000","10292","36866000000","Central","Americas","Capital Goods","Strategic","","19","High","0"
"0013t000029V2FM","","nTopology","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","50","10000000","East","Americas","Semiconductors & Semiconductor Equipment","SMB","","","","0"
"0013t00001XiZSn","","Telenor Sverige AB","Brock Perko","","Prospect","0.00","","0","0","0.00","1,000 - 5,000","33","1123879000","East","Americas","Telecommunication Services","Self-Service","","","","0"
"0013t000029V2FN","","Viable","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","10 - 20","2","1000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZSu","IBM","Bluewolf, an IBM Company","Brock Perko","","Prospect","0.00","","0","0","0.00","1 - 5","","73600000000","East","Americas","Software & Services","Strategic","","10","Medium","0"
"0013t000029V2FO","","Genius","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","12","10000000","East","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZT4","","Ogilvy & Mather","Brock Perko","","Prospect","0.00","","0","0","0.00","Over 10,000","421","1000000000","East","Americas","Media","Mid-Market","","0","Low","1"
"0013t000029V2FP","","Blume","Brock Perko","","Prospect","0.00","","0","0","0.00","20 - 50","","10000000","Central","Americas","Consumer Durables & Apparel","Self-Service","","","","0"
"0013t00001XiZTD","","Migo","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","12","15700000","East","Americas","Diversified Financial Services","Self-Service","","","","0"
"0013t000029V2FQ","","Recursion Pharmaceuticals","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","500 - 1,000","211","50000000","West","Americas","Pharmaceuticals, Biotechnology & Life Sciences","Mid-Market","","","","0"
"0013t00001XiZTI","","Etengo","EMEA QUEUE","EMEA Queue","Prospect","0.00","","0","0","0.00","100 - 250","2","50000000","Western Europe","EMEA","Commercial & Professional Services","Self-Service","","","","0"
"0013t000029V2FR","","Silk and Sonder","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","10 - 20","","10000000","West","Americas","Health Care Equipment & Services","Self-Service","","","","0"
"0013t00001XiZTN","","Les Mills International","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","500 - 1,000","100","250000000","Oceania","APAC","Consumer Services","SMB","","","","1"
"0013t000029V2FS","","Decent","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","20 - 50","2","10000000","Central","Americas","Insurance","Self-Service","","","","0"
"0013t00001XiZTW","","WeLab","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","500 - 1,000","24","100000000","Eastern Asia","APAC","Banks","Self-Service","","","","0"
"0013t000029V2FT","","Mosaic Building Group Inc.","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","4","10000000","West","Americas","Capital Goods","Self-Service","","","","0"
"0013t00001XiZTZ","","Delivery Hero Korea","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","10","250000000","Eastern Asia","APAC","Consumer Services","Self-Service","","","","0"
"0013t000029V2FU","","PicnicHealth Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","44","10000000","West","Americas","Health Care Equipment & Services","Self-Service","","","","0"
"0013t00001XiZTa","","Orange","Dan Ellis","AE EMEA","Prospect","0.00","","1","0","0.00","Over 10,000","4442","48537990000","Western Europe","EMEA","Telecommunication Services","Enterprise","","10","Medium","1"
"0013t000029V2FV","","InCountry Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","18","50000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZTb","","ING Bank","Dan Ellis","AE EMEA","Prospect","0.00","","0","0","0.00","Over 10,000","6199","21041020000","Western Europe","EMEA","Banks","Strategic","","14","High","1"
"0013t000029V2FW","","Erasca","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","3","10000000","West","Americas","Commercial & Professional Services","Self-Service","","","","0"
"0013t00001XiZTc","","Home Depot","Kevin Quigley","AE East","Prospect","0.00","","0","0","0.00","Over 10,000","7486","110200000000","East","Americas","Retailing","Strategic","","17","High","1"
"0013t000029V2FX","","Restream Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","42","10000000","Central","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZTm","","RCA","EMEA QUEUE","EMEA Queue","Prospect","0.00","","0","0","0.00","100 - 250","36","10000000","Western Europe","EMEA","Diversified Financial Services","Self-Service","","","","0"
"0013t000029V2FY","","Yellow Card","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","17","1000000","East","Americas","Diversified Financials","Self-Service","","","","0"
"0013t00001XiZTt","","Virtusa Corporation","Brock Perko","","Prospect","0.00","","0","0","0.00","Over 10,000","10737","1247863000","East","Americas","Software & Services","Strategic","","22","High","1"
"0013t000029V2FZ","","Datasembly","Brock Perko","","Prospect","0.00","","0","0","0.00","50 - 100","35","1000000","East","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZU4","","Chime Financial, Inc.","Josh Pallil","AE West","Customer","333400.00","333400","1","1","0.00","1,000 - 5,000","473","200000000","West","Americas","Banks","Enterprise","Search Only","32","High","0"
"0013t000029V2Fa","","Trusted Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","67","1000000","West","Americas","Health Care Equipment & Services","SMB","","18","High","0"
"0013t00001XiZU5","","HackerOne","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","250 - 500","151","500000000","West","Americas","Software & Services","Mid-Market","","7","Medium","0"
"0013t000029V2Fb","","Shoptiques","Brock Perko","","Prospect","0.00","","0","0","0.00","10 - 20","1","1000000","East","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZU7","","Rolls-Royce","James Ghaedi","AE EMEA","Prospect","0.00","","0","0","0.00","Over 10,000","8806","1000000000","Northern Europe","EMEA","Capital Goods","Strategic","","1","Low","1"
"0013t000029V2Fc","","Neuralink Corporation","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","250 - 500","224","1000000","West","Americas","Pharmaceuticals, Biotechnology & Life Sciences","Mid-Market","","","","0"
"0013t00001XiZUM","","OpenMarket","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","250 - 500","1","50000000","West","Americas","Telecommunication Services","Self-Service","","5","Low","0"
"0013t000029V2Fd","","Mad Street Den","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","250 - 500","82","1000000","West","Americas","Software & Services","SMB","","","","0"
"0013t00001XiZUO","","Halodoc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","500 - 1,000","142","500000000","South-eastern Asia","APAC","Health Care Equipment & Services","SMB","","","","0"
"0013t000029V2Fe","","TrackVia Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","17","1000000","West","Americas","Transportation","Self-Service","","","","0"
"0013t00001XiZUS","","YAMAZAKI BAKING CO., LTD.","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","Over 10,000","","9660000000","Eastern Asia","APAC","Food & Staples Retailing","Self-Service","","","","0"
"0013t000029V2Ff","","Good Dog Inc","Brock Perko","","Prospect","0.00","","0","0","0.00","50 - 100","9","1000000","East","Americas","Consumer Services","Self-Service","","","","0"
"0013t00001XiZUe","","prelay.com","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","10 - 20","3","10000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t000029V2Fg","","PayIt","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","104","50000000","Central","Americas","Diversified Financial Services","SMB","","","","0"
"0013t00001XiZUf","","Torrent Consulting","Brock Perko","","Prospect","0.00","","0","0","0.00","50 - 100","5","10000000","Central","Americas","Software & Services","Self-Service","","8","Medium","0"
"0013t000029V2Fh","","CB4","Brock Perko","","Prospect","0.00","","0","0","0.00","50 - 100","26","10000000","East","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZUj","","Epilog","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","5 - 10","2","1000000","West","Americas","Capital Goods","Self-Service","","","","0"
"0013t000029V2Fi","","Sofar Ocean Technologies Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","47","10000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZUl","","policyco.io","Brock Perko","","Prospect","0.00","","0","0","0.00","10 - 20","1","10000000","East","Americas","Software & Services","Self-Service","","","","0"
"0013t000029V2Fj","","Point Digital","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","46","10000000","West","Americas","Real Estate","Self-Service","","","","0"
"0013t00001XiZUt","","Transcend Innovations","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","10 - 20","1","10000000","West","Americas","Commercial & Professional Services","Self-Service","","","","0"
"0013t000029V2Fk","","Marketing Evolution","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","250 - 500","26","50000000","West","Americas","Media","Self-Service","","","","0"
"0013t00001XiZUu","","speckledmonkey.com","Brock Perko","","Prospect","0.00","","0","0","0.00","","","","","Americas","","Self-Service","","","","0"
"0013t000029V2Fl","","LeanData Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","68","50000000","West","Americas","Software & Services","SMB","","","","0"
"0013t00001XiZUx","","Alstom","EMEA QUEUE","EMEA Queue","Prospect","0.00","","0","0","0.00","Over 10,000","13969","9275975000","Western Europe","EMEA","Utilities","Strategic","","18","High","1"
"0013t000029V2Fm","","Wonderschool","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","39","10000000","West","Americas","Diversified Consumer Services","Self-Service","","","","0"
"0013t00001XiZV1","","Mon Qualiticien","EMEA QUEUE","EMEA Queue","Prospect","0.00","","0","0","0.00","10 - 20","","3442000","Western Europe","EMEA","Software & Services","Self-Service","","","","0"
"0013t000029V2Fn","","Igneous","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","","1000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZV3","","ncontr.com","Brock Perko","","Prospect","0.00","","0","0","0.00","","","","","Americas","","Self-Service","","","","0"
"0013t000029V2Fo","","Achates Power","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","14","50000000","West","Americas","Automobiles & Components","Self-Service","","","","0"
"0013t00001XiZV5","","Guild Technology Inc.","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","20 - 50","","10000000","West","Americas","Diversified Financials","Self-Service","","","","0"
"0013t000029V2Fp","","KoBold Metals","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","59","15917000","West","Americas","Materials","SMB","","","","0"
"0013t00001XiZV6","","timlew.is","EMEA QUEUE","EMEA Queue","Prospect","0.00","","0","0","0.00","10 - 20","","809000","Northern Europe","EMEA","","Self-Service","","","","0"
